# ************************************
# University of Crete
# Computer Science Department
# 
# CS240 - Data Structures
# Project - Phase I test file
# 
# Events:    Number:
#   R         100
#   H         27
#   S         10
#   A         100
#   P         1
#   B         1
#   K         10
#   V         1
#   D         1
#   X         2
#   Y         2
# 
# Created on: 27/10/2018, 21:44:44
# ************************************

R 188 2 2
R 465 3 3
R 362 4 1
R 798 4 4
R 756 1 2
R 555 3 0
R 491 2 1
R 431 3 2
R 974 4 1
R 911 2 0
R 781 1 2
R 405 3 0
R 785 1 1
R 275 3 3
R 888 1 3
R 200 2 4
R 938 4 2
R 476 1 2
R 774 3 2
R 454 1 4
R 305 2 4
R 858 2 2
R 948 3 0
R 621 3 3
R 427 2 0
R 855 3 1
R 333 4 3
R 170 1 3
R 376 3 1
R 682 3 0
R 894 3 4
R 990 1 1
R 631 3 3
R 704 2 0
R 699 4 3
R 295 4 4
R 183 3 1
R 325 4 2
R 368 2 1
R 344 1 2
R 875 4 2
R 429 4 1
R 271 1 3
R 466 3 1
R 977 1 3
R 428 2 1
R 749 3 3
R 666 4 0
R 688 2 0
R 120 4 2
R 424 1 2
R 581 3 3
R 502 4 3
R 648 3 0
R 538 3 1
R 264 4 4
R 813 1 4
R 247 1 1
R 571 1 3
R 562 2 4
R 550 3 4
R 334 1 2
R 304 3 3
R 796 4 4
R 133 4 4
R 149 4 0
R 935 2 3
R 129 1 4
R 967 3 1
R 700 2 4
R 100 3 3
R 138 4 0
R 572 4 2
R 263 4 0
R 481 1 4
R 510 1 3
R 477 2 3
R 227 2 1
R 695 2 1
R 985 1 4
R 743 1 1
R 316 1 4
R 479 4 2
R 440 3 4
R 786 1 1
R 436 1 0
R 563 2 3
R 614 4 4
R 474 4 0
R 992 1 1
R 136 1 3
R 995 2 1
R 512 2 1
R 516 4 2
R 198 4 4
R 220 2 2
R 583 4 2
R 102 1 2
R 178 3 4
R 251 2 4
H 232 0 2
H 601 0 3
H 210 0 2
H 178 0 1
H 263 0 3
H 209 0 2
H 930 0 4
H 733 0 2
H 409 0 2
H 238 0 4
H 641 0 1
H 498 0 3
H 143 0 0
H 583 0 1
H 951 0 4
H 151 0 0
H 434 0 3
H 732 0 2
H 125 0 3
H 753 0 1
H 621 0 4
H 759 0 2
H 689 0 2
H 978 0 4
H 131 0 0
H 885 0 3
H 400 0 1
X
S 3929
S 4436
S 3910
S 8765
S 6381
S 3428
S 7365
S 6898
S 4268
S 1713
A 3929 342 2 1
A 8765 870 2 2
A 3910 234 3 4
A 1713 710 3 3
A 7365 139 2 1
A 7365 992 3 1
A 8765 584 2 1
A 1713 110 1 1
A 4268 113 2 4
A 3929 279 1 1
A 3910 398 1 0
A 1713 244 3 1
A 3929 668 2 3
A 8765 774 3 1
A 3428 726 2 3
A 4268 525 3 2
A 3428 782 2 4
A 7365 694 1 4
A 6381 919 1 0
A 6898 472 1 0
A 4268 820 3 2
A 7365 275 3 4
A 8765 219 2 3
A 3428 309 1 4
A 6381 243 3 4
A 3910 204 3 0
A 4268 741 1 0
A 8765 586 1 1
A 4268 305 3 2
A 6898 505 1 2
A 1713 193 1 1
A 3910 552 1 3
A 3910 759 2 4
A 3910 576 3 1
A 1713 197 2 3
A 3428 412 3 2
A 4268 443 3 4
A 8765 651 2 3
A 7365 303 1 3
A 8765 898 2 3
A 4268 690 2 0
A 8765 250 2 1
A 6898 386 3 3
A 1713 403 1 3
A 3910 819 2 2
A 1713 597 1 3
A 4436 615 2 2
A 4268 605 1 1
A 3428 792 2 4
A 4268 902 1 1
A 4436 665 3 4
A 4436 150 3 4
A 3910 421 1 4
A 8765 282 3 3
A 4436 620 1 0
A 8765 182 2 4
A 6898 876 3 3
A 3929 634 3 1
A 4268 235 1 1
A 4268 962 1 1
A 8765 195 1 1
A 1713 753 1 1
A 8765 196 2 0
A 4268 671 1 2
A 4268 609 1 0
A 3910 882 2 0
A 3428 152 1 0
A 3910 495 1 2
A 3428 658 3 1
A 1713 522 2 2
A 3929 332 3 4
A 4268 911 2 2
A 7365 724 2 2
A 3929 873 2 4
A 1713 830 1 0
A 3428 339 3 4
A 3929 475 1 1
A 4268 748 2 4
A 3428 679 3 2
A 4436 906 1 2
A 6898 834 2 4
A 8765 388 2 0
A 6381 326 1 2
A 1713 987 2 2
A 7365 123 3 3
A 3428 433 1 4
A 7365 356 3 2
A 3910 379 2 3
A 1713 568 1 4
A 6898 301 3 0
A 8765 222 1 3
A 1713 180 1 2
A 6381 566 2 4
A 4436 140 1 4
A 3428 477 2 0
A 3910 713 1 1
A 6381 302 1 2
A 3929 304 2 1
A 4268 467 1 2
A 6381 812 3 1
Y
P
B 4268
K 244 0
K 875 1
K 911 0
K 220 1
K 713 0
K 631 1
K 987 0
K 648 1
K 188 1
K 491 1
V
D
X
Y
